name,from,to,rating,Tv/Movie,Country Name,Time Duration,Genre,votes,reviews,Meta Score,Certificate,critics,creators,stars,popularity_rank,Popularity up or down
Stranger Things,2016,None,8.8,TV,USA,51min,horror,"744,980","2,151",None,TV-14,323,Matt Duffer  Ross Duffer  ,Millie Bobby Brown  Finn Wolfhard  Winona Ryder  ,41,7
The Invisible Man,2020,None,7.1,Movie,Australia,2h 4min,horror,"106,033","1,264",72,None,372,Leigh Whannell  ,Leigh Whannell  ,12,3
Becky,(202,None,5.7,TV,USA,1h 33min,horror,"1,973",97,53,None,64,Jonathan Milott  Cary Murnion  ,Nick Morris  Ruckus Skye  ,22,"1,731"
American Horror Story,2011,None,8.0,TV,USA,1h,horror,"266,200",698,None,TV-MA,194,Brad Falchuk  Ryan Murphy  ,Lady Gaga  Kathy Bates  Angela Bassett  ,78,-8
Betaal,2020,None,5.3,TV,India,None,horror,"6,568",562,None,TV-MA,16,Viineet Kumar  Aahana Kumra  Suchitra Pillai  See full cast & crew  ,N  o  n  e  ,82,-61
The Vampire Diaries,2009,2017,7.7,TV,USA,43min,horror,"272,069",496,None,TV-14,59,Julie Plec  Kevin Williamson  ,Nina Dobrev  Paul Wesley  Ian Somerhalder  ,84,1
Ready or Not,2019,None,6.8,Movie,USA,1h 35min,horror,"84,393",830,64,None,325,Matt Bettinelli-Olpin  Tyler Gillett  ,Guy Busick  ,25,-17
Penny Dreadful: City of Angels,2020,None,6.0,TV,USA,None,horror,"3,399",226,None,TV-14,8,John Logan  ,Natalie Dormer  Daniel Zovatto  Adriana Barraza  ,86,-17
Midsommar,2019,None,7.1,Movie,USA,2h 28min,horror,"159,050","2,514",72,None,379,Ari Aster  ,,29,-2
Attack on Titan,2013,None,8.8,TV,Japan,24min,horror,"141,450",492,None,TV-MA,46,Marina Inoue  Yûki Kaji  Yui Ishikawa  See full cast & crew  ,N  o  n  e  ,108,44
I See You,(201,None,6.8,TV,USA,1h 38min,horror,"13,619",313,65,None,64,Adam Randall  ,,40,5
Lovecraft Country,2020,None,None,TV,USA,1h,horror,None ,3,None,None,,Misha Green  Jordan Peele  ,Abbey Lee  Chase Brown  Aunjanue Ellis  ,40,"1,023"
The Lodge,2019,None,6.0,Movie,UK,1h 48min,horror,"18,241",396,64,None,189,Severin Fiala  Veronika Franz  ,Sergio Casci  Veronika Franz  ,48,-22
The VelociPastor,2018,None,5.2,Movie,USA,1h 15min,horror,"2,186",99,None,None,48,Brendan Steere  ,,54,35
The Platform,2019,None,7.0,Movie,Spain,1h 34min,horror,"130,199",847,73,TV-MA,154,Galder Gaztelu-Urrutia  ,David Desola  David Desola  ,56,-17
Fantasy Island,2020,None,4.8,Movie,USA,1h 49min,horror,"21,686",538,22,None,143,Jeff Wadlow  ,Jillian Jacobs  Christopher Roach  ,72,-20
The Lighthouse,2019,None,7.6,Movie,Canada,1h 49min,horror,"107,720",986,83,None,381,Robert Eggers  ,Robert Eggers  ,74,-20
The Originals,2013,2018,8.2,TV,USA,45min,horror,"111,793",307,None,TV-14,27,Julie Plec  ,Joseph Morgan  Daniel Gillies  Claire Holt  ,166,9
Crawl,2019,None,6.2,Movie,USA,1h 27min,horror,"55,152",823,60,None,290,Alexandre Aja  ,Michael Rasmussen  ,94,204
It Chapter Two,2019,None,6.6,Movie,Canada,2h 49min,horror,"180,262","2,156",58,None,415,Andy Muschietti  ,Stephen King  ,96,None
The Haunting of Hill House,2018,None,8.7,TV,USA,50min,horror,"147,639","2,067",None,TV-MA,91,Mike Flanagan  ,Henry Thomas  Oliver Jackson-Cohen  Kate Siegel  ,183,2
